"kd_negara","nm_negara",
"707","Teritorial Britania Raya di Samudera Hindia (Britania Raya)",
"709","Kamboja",
"711","Sri Lanka",
"713","Republik Rakyat Cina",
"729","Hong Kong (Republik Rakyat Tiongkok)",
"733","India",
"736","Jepang",
"738","Kazakstan",
"741","Kepulauan Kurile (Rusia)",
"743","Kyrgyzstan",
"744","Laos",
"747","Makau",
"749","Malaysia",
"759","Maldives",
"751","Mongolia",
"755","Nepal",
"757","Korea Utara",
"764","Pakistan",
"766","Filipina",
"770","Rusia (bagian Asia)",
"776","Singapura",
"778","Korea Selatan",
"781","Taiwan",
"782","Thailand",
"783","Tajikistan",
"785","Turkmenistan",
"788","Uzbekistan",
"791","Vietnam",
"005","Teritorial Amerika Serikat di Samudera Pasifik (termasuk Samoa Amerika, Kepulauan Canton, Kepulauan",
"801","Antartika",
"802","Australia (termasuk Pulau Norfolk dan Tasmania)",
"803","Pulau Natal (Australia)",
"804","Papua Nugini",
"810","Mikronesia",
"812","Kepulauan Cocos (Australia)",
"813","Kepulauan Cook (Selandia Baru)",
"817","Tuvalu (Britania Raya)",
"821","Fiji",
"823","Polynesia (Perancis) (termasuk Pulau Austral, Kepulauan Marquesas dan Tahiti)",
"824","Kiribati",
"832","Indonesia",
"840","Kepulauan Loyalty (Perancis)",
"844","Kepulauan Marshall",
"845","Nauru",
"846","Kaledonia Baru (Perancis)",
"851","Selandia Baru",
"852","Niue (Selandia Baru)",
"862","Timor Timur",
"874","Kepulauan Solomon",
"881","Tonga",
"885","Vanuatu",
"890","Wallis & Futuna (Perancis)",
"892","Samoa Barat",
"900","Kanada",
"975","Tanah Hijau",
"977","St. Pierre et Miquelon (Perancis)",
"999","Negara tidak diketahui",
"100","Amerika Serikat",
