"kodeunit","kode","nmMenu","kdgrup","nmgrup","urut","norek","uraian","tampil",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00002","1932","PAKAIAN KERJA","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00003","1933","ASURANSI KECELAKAAN DIRI/MOLES","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00004","1934","JAMSOSTEK","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00005","1935","DAPENBUN","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00006","1936","DETASERING","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00007","1937","TUNJANGAN PPH","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00008","1938","TUNJANGAN TRANSPORT","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00009","1939","TUNJANGAN KOMUNIKASI","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00010","1940","TUNJANGAN BBM/SEPEDA MOTOR","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00011","1941","TUNJANGAN TETAP","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00012","1942","TUNJANGAN STRUKTURAL","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00013","1943","TUNJANGAN JABATAN","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00014","1944","TUNJANGAN KHUSUS","YA",
"14","719","Biaya Pesemaian","191","BIAYA PEGAWAI GOL IA","00015","1945","TUNJANGAN HARI RAYA KEAGAMAAN","YA",
"14","719","Biaya Pesemaian","2000","BIAYA TAHUN LALU","00001","2000","BIAYA TAHUN LALU","YA",
"14","719","Biaya Pesemaian","99","PEMINDAH BUKUAN/PENUTUP","00001","9900","PEMINDAH BUKUAN/PENUTUP","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04202","PENGOLAHAN TANAH","00001","042020100","PENGERJAAN TANAH/MERATAKAN TANAH","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04202","PENGOLAHAN TANAH","00002","042020200","ALAT-ALAT DAN PERLENGKAPAN","YA",
"14","716","Biaya Tanaman Belum Menghasilkan (TBM)","04202","PENGOLAHAN TANAH","00003","042020300","LAIN-LAIN/EAP","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04002","PENGERJAAN TANAH","00006","0400219","Lain-lain","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04003","JALAN, JEMBATAN & SALURAN AIR","00001","0400301","Pembuatan & Pemel.Jalan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04003","JALAN, JEMBATAN & SALURAN AIR","00002","0400302","Pembuatan & Pemel.Saluran Air","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04003","JALAN, JEMBATAN & SALURAN AIR","00003","0400303","Pembuatan & Pemel.Teras","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04003","JALAN, JEMBATAN & SALURAN AIR","00004","0400304","Alat-Alat & Perlengkapan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04003","JALAN, JEMBATAN & SALURAN AIR","00005","0400319","Lain-lain","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00001","0400401","Mengatur Jarak & Gali Lobang","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00002","0400402","Pembibitan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00003","0400403","Menanam/Menyisip","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00004","0400404","Alat-Alat & Perlengkapan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00005","0400405","Mengajir","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00006","0400406","Melubang","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00007","0400407","Merorak","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00008","0400408","Upah Pupuk Lubang Tanah","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00009","0400409","Pupuk Lubang Tanam (Bokashi)","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04004","PENANAMAN/SULAMAN/PENYISIPAN","00010","0400419","Lain-lain","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04005","PEMBERANTASAN LALANG","00001","0400502","Pemberantasan Lalang dengan Mesin","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04005","PEMBERANTASAN LALANG","00002","0400504","Pemberantasan Lalang dengan Manual","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04005","PEMBERANTASAN LALANG","00003","0400505","Menyiang dan Merumput dgn Mesin","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04005","PEMBERANTASAN LALANG","00004","0400506","Upah dan Barang bahan dgn Kimiawi","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04005","PEMBERANTASAN LALANG","00005","0400507","Alat-Alat & Perlengkapan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04005","PEMBERANTASAN LALANG","00006","0450519","Lain-Lain","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04006","PEMBERANTASAN HAMA & PANYAKIT","00001","0400601","Upah","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04006","PEMBERANTASAN HAMA & PANYAKIT","00002","0400603","Barang bahan & Lainnya","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04007","PEMUPUKAN","00001","0400701","Upah Pemupukan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04007","PEMUPUKAN","00002","0400702","Upah Pupuk Hijau","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04007","PEMUPUKAN","00003","0400703","Barang Bahan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04007","PEMUPUKAN","00004","0400704","Alat-ALat & Perlengkapan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04007","PEMUPUKAN","00005","0400705","Pengangkutan/EAP","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04007","PEMUPUKAN","00006","0400719","Lain-lain","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00001","0400901","Pangkasan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00002","0400902","Membereskan Cabang","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00003","0400903","Seleksi","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00004","0400904","Menjarangkan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00005","0400905","Pohon Pelindung","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00006","0400906","Membuang Lumut","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00007","0400907","Penyerbukan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00008","0400908","Alat dan Perlengkapan","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04009","PEKERJAAN LAIN-LAIN","00009","0400919","Lain-lain","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04010","ALOKASI BIAYA UMUM","00001","0401001","Biaya Umum Kebun","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04010","ALOKASI BIAYA UMUM","00002","0401002","Biaya umum Kantor Direksi","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","04010","ALOKASI BIAYA UMUM","00003","0401003","Biaya Kredit Investasi","YA",
"14","718","Biaya Tanaman Tahun Akan Datang (TTAD)","0402000","PEMINDAHBUKUAN/PENUTUP","00001","0402000","Rekening Pemindahbukuan/penutup","YA",
"14","719","Biaya Pesemaian","01","GAJI MANDOR/PENGAWAS","00001","0101","GAJI","YA",
"14","719","Biaya Pesemaian","01","GAJI MANDOR/PENGAWAS","00002","0102","TUNJANGAN","YA",
"14","719","Biaya Pesemaian","01","GAJI MANDOR/PENGAWAS","00003","0119","LAIN-LAIN","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00001","0200","MENGUKUR/SURVAI TANAH","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00002","0201","MEMBONGKAR/MEMBAKAR TUNGGUL","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00003","0202","MEMBERSIHKAN/MERATAKAN TANAH","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00004","0203","MENGGARPU","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00005","0204","MEMETAK","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00006","0205","MENGAJIR","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00007","0206","AMBIL/ANGKUT TANAH","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00008","0207","MENGAYAK TANAH","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00009","0208","NGISI BEKONG","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00010","0209","ANGKUT BEKONG","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00011","0210","NYUSUN BEKONG","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00012","0211","MELUBANGI BEKONG","YA",
"14","719","Biaya Pesemaian","02","PENGOLAHAN TANAH","00013","0212","ALAT PERLENGKAPAN","YA",
"14","719","Biaya Pesemaian","03","PEMBUATAN SAUNG/NAUNGAN","00001","0300","MENDIRIKAN BANGUNAN","YA",
"14","719","Biaya Pesemaian","03","PEMBUATAN SAUNG/NAUNGAN","00002","0301","PEMELIHARAAN NAUNGAN","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00001","0400","MENDEDER BIJI","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00002","0401","MENANAM/KECAMBAH/STEK","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00003","0402","BONGKAR/PINDAH KECAMBAH","YA",
"14","719","Biaya Pesemaian","04","MENANAM/PEMBIBITAN","00004","0403","MENYUSUN BEKONG/POLYBAG","YA",
"14","719","Biaya Pesemaian","99","PEMINDAH BUKUAN/PENUTUP","00002","9901","DIPINDAHKAN KE LAPANGAN","YA",
"14","721","Biaya Compacting TM","0550001","BARANG BAHAN","00004","055000104","BAMBU","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00001","055001901","CUTI TAHUNAN/PANJANG","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00002","055001902","PAKAIAN KERJA","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00003","055001903","ASURANSI KECELAKAAN DIRI/MOLES","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00004","055001904","JAMSOSTEK","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00005","055001905","DAPENBUN","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00006","055001906","DETASERING","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00007","055001907","TUNJANGAN PPH","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00008","055001908","TUNJANGAN TRANSPORT","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00009","055001909","TUNJANGAN KOMUNIKASI","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00010","055001910","TUNJANGAN BBM/SEPEDA MOTOR","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00011","055001911","TUNJANGAN TETAP","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00012","055001912","TUNJANGAN STRUKTURAL","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00013","055001913","TUNJANGAN JABATAN","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00014","055001914","TUNJANGAN KHUSUS","YA",
"14","721","Biaya Compacting TM","05500190","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IB -IID","00015","055001915","TUNJANGAN HARI RAYA KEAGAMAAN","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00001","055001931","CUTI TAHUNAN/PANJANG","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00002","055001932","PAKAIAN KERJA","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00003","055001933","ASURANSI KECELAKAAN DIRI/MOLES","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00004","055001934","JAMSOSTEK","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00005","055001935","DAPENBUN","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00006","055001936","DETASERING","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00007","055001937","TUNJANGAN PPH","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00008","055001938","TUNJANGAN TRANSPORT","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00009","055001939","TUNJANGAN KOMUNIKASI","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00010","055001940","TUNJANGAN BBM/SEPEDA MOTOR","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00011","055001941","TUNJANGAN TETAP","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00012","055001942","TUNJANGAN STRUKTURAL","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00013","055001943","TUNJANGAN JABATAN","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00014","055001944","TUNJANGAN KHUSUS","YA",
"14","721","Biaya Compacting TM","05500193","TUNJ.DAN BIAYA SOSIAL KARY.GOL.IA","00015","055001945","TUNJANGAN HARI RAYA KEAGAMAAN","YA",
"14","722","Tekeling","01","GAJI MANDOR/PENGAWAS","00001","0101","GAJI/UPAH","YA",
"14","722","Tekeling","01","GAJI MANDOR/PENGAWAS","00002","0102","TUNJANGAN","YA",
"14","722","Tekeling","01","GAJI MANDOR/PENGAWAS","00003","0119","LAIN-LAIN","YA",
"14","722","Tekeling","02","JUMLAH GAJI MANDOR/PENGAWAS","00001","0200","PENYELESAIAN OKUPASI","YA",
"14","722","Tekeling","02","JUMLAH GAJI MANDOR/PENGAWAS","00002","0300","PENYELIDIKAN TANAH","YA",
"14","722","Tekeling","04","PERSIAPAN LAHAN","00004","0401","BONGKAR TUNGGUL DENGAN MANUAL","YA",
"14","722","Tekeling","04","PERSIAPAN LAHAN","00005","0402","BONGKAR TUNGGUL DENGAN KIMIAWI","YA",
"14","722","Tekeling","04","PERSIAPAN LAHAN","00006","0403","BONGKAR TUNGGUL DENGAN MEKANIK","YA",
"14","722","Tekeling","05","PENGOLAHAN TANAH","00001","0501","PENGOLAHAN TANAH DENGAN MANUAL","YA",
"14","722","Tekeling","05","PENGOLAHAN TANAH","00002","0502","PENGOLAHAN TANAH DENGAN KIMIA","YA",
"14","722","Tekeling","05","PENGOLAHAN TANAH","00003","0503","PENGOLAHAN TANAH DENGAN MEKANIK","YA",
"14","722","Tekeling","06","PEMBUATAN/PEMELIHARAAN JALAN,SAL.AIR & TERAS","00001","0601","PEMBUATAN/PEMELIHARAAN JALAN","YA",
"14","722","Tekeling","06","PEMBUATAN/PEMELIHARAAN JALAN,SAL.AIR & TERAS","00002","0602","PEMBUATAN/PEMELIHARAAN SALURAN AIR","YA",
"14","722","Tekeling","06","PEMBUATAN/PEMELIHARAAN JALAN,SAL.AIR & TERAS","00003","0603","PEMBUATAN/PEMELIHARAAN TERAS","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00001","1801","PUPUK KIMIA","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00002","1802","PUPUK HIJAU/KANDANG","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00003","1803","HERBISIDA","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00004","1804","FUNGISIDA","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00005","1805","INSEKTISIDA","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00006","1806","BAKTERISIDA","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00007","1807","ALAT & PERLENGKAPAN","YA",
"14","722","Tekeling","18","BARANG BAHAN DAN PELENGKAP","00008","1819","BAHAN LAINNYA","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00001","1900","BIAYA TAHUN LALU","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00002","1901","CUTI TAHUNAN/PANJANG","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00003","1902","PAKAIAN KERJA","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00004","1903","ASURANSI KECELAKAAN DIRI/MOLES","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00005","1904","JAMSOSTEK","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00006","1905","DAPENBUN","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00007","1906","DETASERING","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00008","1907","TUNJANGAN PPH","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00009","1908","TUNJANGAN TRANSPORT","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00010","1909","TUNJANGAN KOMUNIKASI","YA",
"14","722","Tekeling","190","TUNJ.DAN BIAYA SOSIAL GOL.IB-IID","00011","1910","TUNJANGAN BBM/SEPEDA MOTOR","YA",
