"Lokasi","Propinsi",
"Hulu Sungai Selatan","Kalimantan Selatan",
"Hulu Sungai Tengah","Kalimantan Selatan",
"Hulu Sungai Utara","Kalimantan Selatan",
"Humbang Hasundutan","Sumatera Utara",
"Indragiri Hilir","Riau",
"Indragiri Hulu","Riau",
"Indramayu","Jawa Barat",
"Intan Jaya","Papua",
"Jakarta Barat","DKI Jakarta",
"Jakarta Pusat","DKI Jakarta",
"Jakarta Selatan","DKI Jakarta",
"Jakarta Timur","DKI Jakarta",
"Jakarta Utara","DKI Jakarta",
"Jambi","Jambi",
"Jayapura","Papua",
"Jayapura","Papua",
"Jayawijaya","Papua",
"Jember","Jawa Timur",
"Jembrana","Bali",
"Jeneponto","Sulawesi Selatan",
"Jepara","Jawa Tengah",
"Jombang","Jawa Timur",
"Kaimana","Papua Barat",
"Kampar","Riau",
"Kapuas","Kalimantan Tengah",
"Kapuas Hulu","Kalimantan Barat",
"Karanganyar","Jawa Tengah",
"Karangasem","Bali",
"Karawang","Jawa Barat",
"Karimun","Kepulauan Riau",
"Karo","Sumatera Utara",
"Katingan","Kalimantan Tengah",
"Kaur","Bengkulu",
"Kayong Utara","Kalimantan Barat",
"Kebumen","Jawa Tengah",
"Kediri","Jawa Timur",
"Kediri","Jawa Timur",
"Keerom","Papua",
"Kendal","Jawa Tengah",
"Kendari","Sulawesi Tenggara",
"Kepahiang","Bengkulu",
"Kepulauan Anambas","Kepulauan Riau",
"Kepulauan Aru","Maluku",
"Kepulauan Mentawai","Sumatera Barat",
"Kepulauan Meranti","Riau",
"Kepulauan Sangihe","Sulawesi Utara",
"Kepulauan Seribu","DKI Jakarta",
"Kepulauan Siau Tagulandang Biaro (Sitaro)","Sulawesi Utara",
"Kepulauan Sula","Maluku Utara",
"Kepulauan Talaud","Sulawesi Utara",
"Solok Selatan","Sumatera Barat",
"Soppeng","Sulawesi Selatan",
"Sorong","Papua Barat",
"Sorong","Papua Barat",
"Sorong Selatan","Papua Barat",
"Sragen","Jawa Tengah",
"Subang","Jawa Barat",
"Labuhan Batu Utara","Sumatera Utara",
"Subulussalam","Nanggroe Aceh Darussalam (NAD)",
"Sukabumi","Jawa Barat",
"Sukabumi","Jawa Barat",
"Sukamara","Kalimantan Tengah",
"Sukoharjo","Jawa Tengah",
"Sumba Barat","Nusa Tenggara Timur (NTT)",
"Sumba Barat Daya","Nusa Tenggara Timur (NTT)",
"Sumba Tengah","Nusa Tenggara Timur (NTT)",
"Sumba Timur","Nusa Tenggara Timur (NTT)",
"Sumbawa","Nusa Tenggara Barat (NTB)",
"Sumbawa Barat","Nusa Tenggara Barat (NTB)",
"Sumedang","Jawa Barat",
"Sumenep","Jawa Timur",
"Sungaipenuh","Jambi",
"Supiori","Papua",
"Surabaya","Jawa Timur",
"Surakarta (Solo)","Jawa Tengah",
"Tabalong","Kalimantan Selatan",
"Tabanan","Bali",
"Takalar","Sulawesi Selatan",
"Tambrauw","Papua Barat",
"Tana Tidung","Kalimantan Utara",
"Tana Toraja","Sulawesi Selatan",
"Tanah Bumbu","Kalimantan Selatan",
"Tanah Datar","Sumatera Barat",
"Tanah Laut","Kalimantan Selatan",
"Tangerang","Banten",
"Tangerang","Banten",
"Tangerang Selatan","Banten",
"Tanggamus","Lampung",
"Tanjung Balai","Sumatera Utara",
"Tanjung Jabung Barat","Jambi",
"Tanjung Jabung Timur","Jambi",
"Tanjung Pinang","Kepulauan Riau",
"Tapanuli Selatan","Sumatera Utara",
"Tapanuli Tengah","Sumatera Utara",
"Tapanuli Utara","Sumatera Utara",
"Tapin","Kalimantan Selatan",
"Tarakan","Kalimantan Utara",
"Tasikmalaya","Jawa Barat",
"Tasikmalaya","Jawa Barat",
"Tebing Tinggi","Sumatera Utara",
"Tebo","Jambi",
"Tegal","Jawa Tengah",
"Tegal","Jawa Tengah",
"Teluk Bintuni","Papua Barat",
"Teluk Wondama","Papua Barat",
"Temanggung","Jawa Tengah",
"Ternate","Maluku Utara",
"Tidore Kepulauan","Maluku Utara",
"Timor Tengah Selatan","Nusa Tenggara Timur (NTT)",
"Timor Tengah Utara","Nusa Tenggara Timur (NTT)",
"Toba Samosir","Sumatera Utara",
"Tojo Una-Una","Sulawesi Tengah",
"Toli-Toli","Sulawesi Tengah",
"Tolikara","Papua",
"Tomohon","Sulawesi Utara",
"Toraja Utara","Sulawesi Selatan",
"Trenggalek","Jawa Timur",
"Tual","Maluku",
"Tuban","Jawa Timur",
"Tulang Bawang","Lampung",
"Tulang Bawang Barat","Lampung",
"Tulungagung","Jawa Timur",
"Wajo","Sulawesi Selatan",
"Wakatobi","Sulawesi Tenggara",
"Waropen","Papua",
"Way Kanan","Lampung",
"Wonogiri","Jawa Tengah",
"Wonosobo","Jawa Tengah",
"Yahukimo","Papua",
"Yalimo","Papua",
"Yogyakarta","DI Yogyakarta",
"Aceh Barat","Nanggroe Aceh Darussalam (NAD)",
"Aceh Barat Daya","Nanggroe Aceh Darussalam (NAD)",
"Aceh Besar","Nanggroe Aceh Darussalam (NAD)",
"Aceh Jaya","Nanggroe Aceh Darussalam (NAD)",
"Aceh Selatan","Nanggroe Aceh Darussalam (NAD)",
"Aceh Singkil","Nanggroe Aceh Darussalam (NAD)",
"Aceh Tamiang","Nanggroe Aceh Darussalam (NAD)",
"Aceh Tengah","Nanggroe Aceh Darussalam (NAD)",
"Aceh Tenggara","Nanggroe Aceh Darussalam (NAD)",
"Aceh Timur","Nanggroe Aceh Darussalam (NAD)",
"Aceh Utara","Nanggroe Aceh Darussalam (NAD)",
"Agam","Sumatera Barat",
"Alor","Nusa Tenggara Timur (NTT)",
"Ambon","Maluku",
"Asahan","Sumatera Utara",
"Asmat","Papua",
"Badung","Bali",
"Balangan","Kalimantan Selatan",
"Balikpapan","Kalimantan Timur",
"Banda Aceh","Nanggroe Aceh Darussalam (NAD)",
