"kodeunit","kodeproduk","namaproduk","kodebarang","namabarang","kodesatuan","namasatuan","nourut","qty","norek","MinimumStock",
"29","8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)","02000208","TEH BM MALABAR","01","KILOGRAM","006","1","605080000","0",
"29","8992829101200","Teh Lemon Celup Walini Klasik-Paper Sachet 1.8 g","02100185","FILTER PAPER 125 MM","01","KILOGRAM","001","6,115","605040000","0",
"29","8992829101200","Teh Lemon Celup Walini Klasik-Paper Sachet 1.8 g","02100228","BENANG 20/3","01","KILOGRAM","002","1,11","605040000","0",
"29","8992829101200","Teh Lemon Celup Walini Klasik-Paper Sachet 1.8 g","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","003","0,9536","605040000","0",
"29","8992829101200","Teh Lemon Celup Walini Klasik-Paper Sachet 1.8 g","02100319","TEA TAG WALINI SINGLE CLASSIC MAISA","31","PCS","004","55550","605040000","0",
"29","8992829101200","Teh Lemon Celup Walini Klasik-Paper Sachet 1.8 g","02100412","PAPER SACHET WALINI KLASIK LEMON","31","PCS","005","55555","605040000","0",
"29","8992829101200","Teh Lemon Celup Walini Klasik-Paper Sachet 1.8 g","02100032","KARTON WALINI TC HITAM DOUBLE CHAMBER","31","PCS","006","111","605040000","0",
"29","8992829117781","Teh Hitam Seduh Jasmine BM","02000035","TEH BM KERTAMANAH","01","KILOGRAM","001","100","605080000","0",
"29","8992829117781","Teh Hitam Seduh Jasmine BM","02000200","FLAVOUR KERING MELATI UTK MAKLUN","01","KILOGRAM","002","1","605080000","0",
"29","8992829105522","Teh Hitam BP 1 Seduh Walini-Dus 200 g","02000187","TEH BP I SUKAWANA","01","KILOGRAM","001","100","605080000","0",
"29","8992829105522","Teh Hitam BP 1 Seduh Walini-Dus 200 g","02100063","DUS WALINI BP 1","31","PCS","002","500","605040000","0",
"29","8992829105522","Teh Hitam BP 1 Seduh Walini-Dus 200 g","02100013","METALIZING ROLL TS WALINI 250 MM","01","KILOGRAM","003","0,3154","605040000","0",
"29","8992829105522","Teh Hitam BP 1 Seduh Walini-Dus 200 g","02100028","OPP LEBAR 200 MM","01","KILOGRAM","004","0,615","605040000","0",
"29","8992829105522","Teh Hitam BP 1 Seduh Walini-Dus 200 g","02100439","KARTON TEH SEDUH WALINI ALL VARIANT","31","PCS","005","10,42","605040000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02000257","EKSTRAK KERING TEH HITAM (BTX)","01","KILOGRAM","006","0,5","605080000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02000287","HDKN (SILIKA)","01","KILOGRAM","007","0,05","605080000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02000279","GULA KASTOR","01","KILOGRAM","008","85","605080000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02100028","OPP LEBAR 200 MM","01","KILOGRAM","009","1,916","605040000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02100298","SEALTAPE 2'","15","ROLL","010","0,2749","605040000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02000339","MALTODEXTRIN","01","KILOGRAM","011","9,45","605080000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02100386","PLASTIK AUTER INSTAN LEMON TEA","31","PCS","012","250","605040000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02100439","KARTON TEH SEDUH WALINI ALL VARIANT","31","PCS","013","10,4","605040000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02000338","GREEN TEA SPRAY DIER","01","KILOGRAM","014","0,25","605080000","0",
"29","8992829117783","Teh Lemon DPE - Bks 1 KG","02000194","FLAVOUR KERING LEMON UTK WALINI","01","KILOGRAM","001","8","605080000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02100304","KERTAS PEMBUNGKUS GUNUNG MAS 100 GR","31","PCS","001","1000","605040000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02100234","LEM INWOOD","01","KILOGRAM","002","11","605040000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02100298","SEALTAPE 2'","15","ROLL","003","2643","605040000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02100236","SEALTAPE 0,5 INCI","15","ROLL","004","4464","605040000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","00100173","NATRIUM BENZOAT","01","KILOGRAM","005","71","605040000","0",
"29","8992829110042","Teh Hijau Celup SC Goalpara - Dus 50 g (25 TB x 2 g)","02100228","BENANG 20/3","01","KILOGRAM","005","1","605040000","0",
"29","8992829110042","Teh Hijau Celup SC Goalpara - Dus 50 g (25 TB x 2 g)","02100298","SEALTAPE 2'","15","ROLL","006","0,825","605040000","0",
"29","8992829110042","Teh Hijau Celup SC Goalpara - Dus 50 g (25 TB x 2 g)","02100230","OPP LEBAR 210 MM","01","KILOGRAM","007","1,99","605040000","0",
"29","8992829110042","Teh Hijau Celup SC Goalpara - Dus 50 g (25 TB x 2 g)","02100445","KARTON TEH CELUP GOALPARA HIJAU ISI 48","31","PCS","008","41,667","604040000","0",
"29","8992829117776","Teh Hitam Seduh Sukawana BP1-Paper Kraft 500 gr","02100422","PAPER CRAFT","31","PCS","001","200","605040000","0",
"29","8992829117776","Teh Hitam Seduh Sukawana BP1-Paper Kraft 500 gr","02000187","TEH BP I SUKAWANA","01","KILOGRAM","002","100","605080000","0",
"29","8992829117776","Teh Hitam Seduh Sukawana BP1-Paper Kraft 500 gr","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","003","0,35","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100185","FILTER PAPER 125 MM","01","KILOGRAM","001","6,115","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100228","BENANG 20/3","01","KILOGRAM","002","1,11","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","003","0,9536","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100319","TEA TAG WALINI SINGLE CLASSIC MAISA","31","PCS","004","55550","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100413","PAPER SACHET WALINI KLASIK HIJAU","31","PCS","005","55555","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100032","KARTON WALINI TC HITAM DOUBLE CHAMBER","31","PCS","006","111","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100298","SEALTAPE 2'","15","ROLL","007","1,11","605040000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02000237","TEH KONACHA CHAKRA","01","KILOGRAM","008","100","605080000","0",
"29","8992829101202","Teh Hijau Klasik Celup Walini-Paper Sachet 1.8 g","02100189","PLASTIK PAPER SACHET 20 x 30 cm TEBAL 0,3 MIKRON","01","KILOGRAM","009","2,22","605040000","0",
"29","8992829117777","Teh Hitam Seduh Rancabali BOPF-Paper Kraft 500 gr","02100422","PAPER CRAFT","31","PCS","001","200","605040000","0",
"29","8992829117777","Teh Hitam Seduh Rancabali BOPF-Paper Kraft 500 gr","02000342","TEH BOPF SPERATA/RANCABALI","01","KILOGRAM","002","100","605080000","0",
"29","8992829117777","Teh Hitam Seduh Rancabali BOPF-Paper Kraft 500 gr","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","003","0,35","605040000","0",
"29","8992829100016","Teh Hitam Klasik Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100409","KARTON TC WALINI KLASIK ALL VARIAN","31","PCS","002","46,29","605040000","0",
"29","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","02100376","KARTON GOALPARA SEDUH ALL VARIANT","31","PCS","001","15,15","605040000","0",
"29","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","02100298","SEALTAPE 2'","15","ROLL","002","0,2348","605040000","0",
"29","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","02100236","SEALTAPE 0,5 INCI","15","ROLL","003","0,9424","605040000","0",
"29","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","02100346","METALIZED ROLL GOALPARA SEDUH 50 GRAM","15","ROLL","004","0,303","605040000","0",
"29","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","02000035","TEH BM KERTAMANAH","01","KILOGRAM","005","100","605080000","0",
"29","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","02100359","PLASTIK BAL GOALPARA SEDUH MASINAL 50 GR","01","KILOGRAM","006","58","605040000","0",
"29","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","02100360","PLASTIK BAL GOALPARA SEDUH MASINAL 100 GR","01","KILOGRAM","007","58","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100185","FILTER PAPER 125 MM","01","KILOGRAM","001","6,115","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100228","BENANG 20/3","01","KILOGRAM","002","1,11","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","003","0,9536","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100319","TEA TAG WALINI SINGLE CLASSIC MAISA","31","PCS","004","55550","605040000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02000204","SUCRALOSE","01","KILOGRAM","004","0,2","605080000","0",
"29","8992829107739","Teh Lemon Instan Walini-Sachet 400 g (20 x 20 g)","02000210","EKSTRAK KERING TEH HIJAU JVP (GTX)","01","KILOGRAM","005","0,25","605080000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100012","METALIZING BAG utk TC WALINI","31","PCS","005","2222,22","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100032","KARTON WALINI TC HITAM DOUBLE CHAMBER","31","PCS","006","83,33","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100298","SEALTAPE 2'","15","ROLL","007","1,11","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100033","DUS WALINI TC WANGI","31","PCS","008","2222,22","605040000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02000209","TEH FANN SUKAWANA","01","KILOGRAM","009","519561","605080000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02000238","TEH GREEN FANN CHAKRA","01","KILOGRAM","010","25,008","605080000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02000225","TEH PF II TANAWATTEE","01","KILOGRAM","011","22,2856","605080000","0",
"29","8992829117783","Teh Lemon DPE - Bks 1 KG","02000024","TEH PF II MALABAR","01","KILOGRAM","002","27,6","605080000","0",
"29","8992829117783","Teh Lemon DPE - Bks 1 KG","02000209","TEH FANN SUKAWANA","01","KILOGRAM","003","64,4","605080000","0",
"29","8992829100019","Teh Wangi Celup Walini-Dus 45 g (25 TB x 1,8 g)","02100248","CAPSULATED INGGREDIEN FLAVOUR LEMON","01","KILOGRAM","012","0,7503","605040000","0",
"29","8992829100005","Teh Mint Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100016","FILTER PAPER 94 MM","01","KILOGRAM","001","10","605040000","0",
"29","8992829100005","Teh Mint Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100228","BENANG 20/3","01","KILOGRAM","002","0,7","605040000","0",
"29","8992829100005","Teh Mint Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100006","WIRE ALUMINIUM","01","KILOGRAM","003","0,6917","605040000","0",
"29","8992829100005","Teh Mint Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100095","TEA TAG WALINI DOUBLE CHAMBER HST","31","PCS","004","50000","605040000","0",
"29","8992829100005","Teh Mint Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100012","METALIZING BAG utk TC WALINI","31","PCS","005","2000","605040000","0",
"29","8992829100005","Teh Mint Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100032","KARTON WALINI TC HITAM DOUBLE CHAMBER","31","PCS","006","83,33","605040000","0",
"29","8992829100005","Teh Mint Celup DC Walini-Dus 50 g (25 TB x 2 g)","02100298","SEALTAPE 2'","15","ROLL","007","0,75","605040000","0",
"29","8992829100025","Teh Lemon Celup Walini Klasik Amplop- Dus 45 g (25 TB x 18 g)","02000221","TEH FANN WALINI","01","KILOGRAM","001","64,4","605080000","0",
"29","8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )","02000010","TEH FANN II MAL","01","KILOGRAM","001","25","605080000","0",
"29","8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g","02000258","TEH GUN POWDER CHAKRA","01","KILOGRAM","005","48,78048","605080000","0",
"29","8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g","02100446","PAPER BOX HITAM","31","PCS","006","487,8","605040000","0",
"29","8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g","02100447","PAPER BOX HIJAU","31","PCS","007","487,8","605040000","0",
"29","8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g","02100448","PAPER BOX PUTIH SILVER NEEDLE","31","PCS","008","487,8","605040000","0",
"29","8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g","02100449","PAPER BOX PUTIH PEONY","31","PCS","009","487,8","605040000","0",
"29","8992829117704","Teh Hitam Seduh PF -1","02000125","TEH PF I SUKAWANA","01","KILOGRAM","001","1","605080000","0",
"29","8992829105523","Teh 4 Dus Seduh Walini Exclusive - Bamboo Box 205 g","02100230","OPP LEBAR 210 MM","01","KILOGRAM","010","1,9902","605040000","0",
"29","8992829107738","Teh Susu Instan Walini-Sachet 400 g (20 x 20 g)","02000210","EKSTRAK KERING TEH HIJAU JVP (GTX)","01","KILOGRAM","004","0,6","605080000","0",
"29","8992829107738","Teh Susu Instan Walini-Sachet 400 g (20 x 20 g)","02000257","EKSTRAK KERING TEH HITAM (BTX)","01","KILOGRAM","005","4,4","605080000","0",
"29","8992829107738","Teh Susu Instan Walini-Sachet 400 g (20 x 20 g)","02000285","NON DAIRY CREAMER UTK WALINI","01","KILOGRAM","006","30","605080000","0",
"29","8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g","02000225","TEH PF II TANAWATTEE","01","KILOGRAM","011","22,2856","605080000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02000073","TEH BOPF SEDEP","01","KILOGRAM","012","10","605080000","0",
"29","8992829101404","Teh Hitam Celup SC Klasik Walini Dus/Amplop-Dus 45 g 25 TB x 18 g","02000295","TEH PD SUKAWANA","01","KILOGRAM","011","9,999","605080000","0",
"29","8992829101404","Teh Hitam Celup SC Klasik Walini Dus/Amplop-Dus 45 g 25 TB x 18 g","02000125","TEH PF I SUKAWANA","01","KILOGRAM","012","4,999","605080000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100304","KERTAS PEMBUNGKUS GUNUNG MAS 100 GR","31","PCS","001","1000","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100317","PLASTIK GUNUNG MAS 100 GRAM","31","PCS","002","0,332","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100397","KARTON GUNUNG MAS HITAM SEDUH ALL VARIAN","31","PCS","003","6,667","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100234","LEM INWOOD","01","KILOGRAM","004","0,11","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100298","SEALTAPE 2'","15","ROLL","005","0,2642","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100236","SEALTAPE 0,5 INCI","15","ROLL","006","0,4464","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","00100173","NATRIUM BENZOAT","01","KILOGRAM","007","0,0071","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100001","Terusi","01","KILOGRAM","008","0,007071","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02100338","ACI","01","KILOGRAM","009","0,257","605040000","0",
"29","8992829112257","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (150 x 100 g)","02000044","TEH BM RANCABOLANG","01","KILOGRAM","010","100","605080000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02000292","TEH BP SEDEP","01","KILOGRAM","013","20","605080000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02000291","TEH BT II SEDEP","01","KILOGRAM","014","10","605080000","0",
"29","8992829112255","Teh Hitam Seduh Gunung Mas-Bungkus 100 g (200 x 100 g)","02000294","TEH BP II SEDEP","01","KILOGRAM","015","10","605080000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02100185","FILTER PAPER 125 MM","01","KILOGRAM","001","6,115","605040000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02100228","BENANG 20/3","01","KILOGRAM","002","1,11","605040000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","003","0,9536","605040000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02100319","TEA TAG WALINI SINGLE CLASSIC MAISA","31","PCS","004","55555","605040000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02100416","PAPER SACHET WALINI KLASIK ENGLISHBREAKFAST","31","PCS","005","55555","605040000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02100032","KARTON WALINI TC HITAM DOUBLE CHAMBER","31","PCS","006","111","605040000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02100298","SEALTAPE 2'","15","ROLL","007","1,11","605040000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02000209","TEH FANN SUKAWANA","01","KILOGRAM","008","70","605080000","0",
"29","8992829101199","Teh English Breakfast Klasik Celup Walini-Paper Sachet 1.8 g","02000024","TEH PF II MALABAR","01","KILOGRAM","009","30","605080000","0",
"29","8992829117773","Teh Hitam Seduh Sour Sally/Gulu-Gulu Metalized Roll 1000 g","02000032","TEH BM CISARUNI","01","KILOGRAM","001","100","605080000","0",
"29","8992829117773","Teh Hitam Seduh Sour Sally/Gulu-Gulu Metalized Roll 1000 g","02100451","METALIZED POLOS KEMASAN 1 KG","31","PCS","002","100","605040000","0",
"29","8992829111131","Teh Hitam Seduh Goalpara IHT-Bungkus 100 g (120 x 100 g)","02100236","SEALTAPE 0,5 INCI","15","ROLL","004","6,6666","605040000","0",
"29","8992829111131","Teh Hitam Seduh Goalpara IHT-Bungkus 100 g (120 x 100 g)","02100347","METALIZED ROLL GOALPARA SEDUH 100 GRAM","15","ROLL","005","1,375","605040000","0",
"29","8992829111131","Teh Hitam Seduh Goalpara IHT-Bungkus 100 g (120 x 100 g)","02000035","TEH BM KERTAMANAH","01","KILOGRAM","006","100","605080000","0",
"29","8992829112202","Teh Hitam Celup SC Netral-Plastik 0,925 Kg (500 TB x 1.85 kg)","02000024","TEH PF II MALABAR","01","KILOGRAM","002","33","605080000","0",
"29","8992829112202","Teh Hitam Celup SC Netral-Plastik 0,925 Kg (500 TB x 1.85 kg)","02100185","FILTER PAPER 125 MM","01","KILOGRAM","003","5,4","605040000","0",
"29","8992829101203","Teh Wangi Klasik Celup Walini-Paper Sachet 1.8 g","02000200","FLAVOUR KERING MELATI UTK MAKLUN","01","KILOGRAM","012","0,7503","605040000","0",
"29","8992829100027","Teh Leci Celup Walini Klasik Amplop- Dus 45 g (25 TB x 18 g)","02000221","TEH FANN WALINI","01","KILOGRAM","001","66,5","605080000","0",
"29","8992829100027","Teh Leci Celup Walini Klasik Amplop- Dus 45 g (25 TB x 18 g)","02000024","TEH PF II MALABAR","01","KILOGRAM","002","28,5","605080000","0",
"29","8992829100024","Teh Wangi Klasik Celup SC Walini-Dus 45 g (25 TB x 1,8 g)","02100185","FILTER PAPER 125 MM","01","KILOGRAM","001","6,115","605040000","0",
"29","8992829112200","Teh Hitam Celup SC SP Gunung Mas-Dus 1.11 Kg (25 TB x 1.85 g)","02100228","BENANG 20/3","01","KILOGRAM","002","1,0815","605040000","0",
"29","8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )","02000345","TEH FNGS 2","01","KILOGRAM","002","64","605080000","0",
"29","8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )","02000045","TEH BM SEDEP","01","KILOGRAM","003","10","605080000","0",
"29","8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )","02000200","FLAVOUR KERING MELATI UTK MAKLUN","01","KILOGRAM","004","1","605080000","0",
"29","8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )","02100185","FILTER PAPER 125 MM","01","KILOGRAM","005","0,948","605040000","0",
"29","8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )","02100228","BENANG 20/3","01","KILOGRAM","006","0,958","605040000","0",
"29","8992829114438","Teh Wangi Celup Walini Holding -Dus 180 g ( 100 TB x 1,8 g )","02100233","LEM PC 2358 E UNTUK MAISA","01","KILOGRAM","007","0,95","605040000","0",
